id,filename,name,hash,cropped_filename,fingerprints,labels,cropped_fingerprints,cropped_labels,cluster
03c6713c7157ff20ece41cb047b4e56e59979c42edf706d6e1b622a98ab4577a,./data/Nefarious_Napoleonic_Memes-1225.png,Nefarious_Napoleonic_Memes-1225,03c6713c7157ff20ece41cb047b4e56e59979c42edf706d6e1b622a98ab4577a,./data/cropped/Nefarious_Napoleonic_Memes-1225.jpg,[0.02311573 0.10107747 0.43541226 ... 0.         0.0777696  0.11043001],"[['Persian_cat', 0.25000885], ['Siberian_husky', 0.22816008], ['cougar', 0.16515076], ['malamute', 0.12073243], ['web_site', 0.044025775]]","[6.0655600e-01 2.1900089e-02 1.4425541e-04 ... 2.9412198e-01 4.8413098e-02
 1.3248135e+00]","[['Petri_dish', 0.20349175], ['beaver', 0.044134874], ['speedboat', 0.04156542], ['platypus', 0.039718073], ['coil', 0.03237763]]",27
3345b028a47d8b7a881c6b1530bdbfac6b82986526d7011f148acb9a01470c11,./data/Nefarious_Napoleonic_Memes-1244.png,Nefarious_Napoleonic_Memes-1244,3345b028a47d8b7a881c6b1530bdbfac6b82986526d7011f148acb9a01470c11,./data/cropped/Nefarious_Napoleonic_Memes-1244.jpg,[0.23227818 1.3946745  0.07071779 ... 0.38619578 0.44104245 1.0239633 ],"[['web_site', 0.5954617], ['envelope', 0.13803615], ['cowboy_hat', 0.11808062], ['comic_book', 0.06684356], ['sunglasses', 0.03403129]]",[0.02877804 1.462524   0.0522445  ... 0.7546353  0.37858114 0.79031914],"[['sunglasses', 0.39050117], ['sunglass', 0.24585138], ['web_site', 0.17279077], ['cowboy_hat', 0.061776537], ['comic_book', 0.052761972]]",50
152988309f7cb8aeec584e8b1668bb4d7a20b5c56a6db1baa164c1a12f76212a,./data/Nefarious_Napoleonic_Memes-1251.png,Nefarious_Napoleonic_Memes-1251,152988309f7cb8aeec584e8b1668bb4d7a20b5c56a6db1baa164c1a12f76212a,./data/cropped/Nefarious_Napoleonic_Memes-1251.jpg,[0.64194536 3.9196353  0.31011075 ... 0.06779066 0.00689416 2.3500526 ],"[['web_site', 0.9837065], ['mushroom', 0.002980094], ['menu', 0.002324096], ['cowboy_hat', 0.0017893794], ['isopod', 0.0015571385]]",[1.2937939  3.8577466  0.45860493 ... 0.08356787 0.03019548 2.176456  ],"[['web_site', 0.80504024], ['abaya', 0.026649112], ['neck_brace', 0.019178882], ['comic_book', 0.013739574], ['platypus', 0.01303856]]",50
1cb4268eb01b5132d7da103046722643e066d1971b5b728501baa760b4e61e51,./data/Nefarious_Napoleonic_Memes-1252.png,Nefarious_Napoleonic_Memes-1252,1cb4268eb01b5132d7da103046722643e066d1971b5b728501baa760b4e61e51,./data/cropped/Nefarious_Napoleonic_Memes-1252.jpg,[0.00424123 0.6828535  0.13624884 ... 0.0778736  0.05289958 0.22495256],"[['web_site', 0.9153539], ['comic_book', 0.026716385], ['envelope', 0.010745945], ['pajama', 0.0077732503], ['jersey', 0.0032575396]]",[0.16092363 0.07840297 0.33257455 ... 0.56611997 0.24947815 1.5553248 ],"[['paintbrush', 0.7740411], ['barrel', 0.08821413], ['face_powder', 0.04387316], ['ski', 0.018369498], ['coil', 0.013913287]]",27
155129d82339ac4220b2b5ee404fd3c31a78c422fdba1d5253b5e0e6aaa8708d,./data/Nefarious_Napoleonic_Memes-1259.jpg,Nefarious_Napoleonic_Memes-1259,155129d82339ac4220b2b5ee404fd3c31a78c422fdba1d5253b5e0e6aaa8708d,./data/cropped/Nefarious_Napoleonic_Memes-1259.jpg,[0.        0.2458345 2.7977688 ... 0.2054095 0.8468167 0.2916683],"[['half_track', 0.59963727], ['tank', 0.25557038], ['amphibian', 0.12460353], ['go-kart', 0.0075028534], ['lawn_mower', 0.004930769]]",[0.00882786 0.03959079 2.9068148  ... 0.6017728  0.6483031  0.04048033],"[['go-kart', 0.49976492], ['tank', 0.25015703], ['cannon', 0.086162716], ['half_track', 0.0812254], ['amphibian', 0.033673495]]",27
0834e3ca3fd1f189a6c042b33120ca7ae7be877577c3dfca22dafbcd15d2816c,./data/Nefarious_Napoleonic_Memes-1339.jpg,Nefarious_Napoleonic_Memes-1339,0834e3ca3fd1f189a6c042b33120ca7ae7be877577c3dfca22dafbcd15d2816c,./data/cropped/Nefarious_Napoleonic_Memes-1339.jpg,[0.37696102 0.05614636 0.16166084 ... 0.42392918 0.10621885 2.259304  ],"[['menu', 0.6212434], ['web_site', 0.16711931], ['drumstick', 0.10054703], ['wooden_spoon', 0.045276552], ['drum', 0.014235654]]",[0.07843805 0.02770442 0.01428032 ... 0.5247555  0.0373245  1.6636437 ],"[['tobacco_shop', 0.48230353], ['abacus', 0.18181428], ['confectionery', 0.1048283], ['organ', 0.04199761], ['grocery_store', 0.033551183]]",27
f0c41f8eb86ec5fd1cafc32807d8ed53672c35e16e5dfea6963b3cccd2bee93c,./data/Nefarious_Napoleonic_Memes-138.jpg,Nefarious_Napoleonic_Memes-138,f0c41f8eb86ec5fd1cafc32807d8ed53672c35e16e5dfea6963b3cccd2bee93c,./data/cropped/Nefarious_Napoleonic_Memes-138.jpg,[0.00351089 1.0508215  0.8022054  ... 0.14762734 0.2680855  0.8901748 ],"[['web_site', 0.5650013], ['cowboy_hat', 0.18333375], ['sunglasses', 0.09516556], ['sandal', 0.06963225], ['banjo', 0.03189374]]",[0.         0.         0.10124124 ... 0.11251409 0.7050828  0.02913709],"[['tobacco_shop', 0.75913924], ['sunglass', 0.016996056], ['organ', 0.015153549], ['restaurant', 0.009032867], ['assault_rifle', 0.008708954]]",27
aa4d62aca5f566af3e3fdf8dfcfeff590fa39d294faa83e7b2e7bb00c081cf13,./data/Nefarious_Napoleonic_Memes-1383.jpg,Nefarious_Napoleonic_Memes-1383,aa4d62aca5f566af3e3fdf8dfcfeff590fa39d294faa83e7b2e7bb00c081cf13,./data/cropped/Nefarious_Napoleonic_Memes-1383.jpg,[0.08548978 1.4076984  0.01633194 ... 0.08186264 1.4147856  1.167323  ],"[['wall_clock', 0.5898039], ['strainer', 0.09253065], ['toilet_seat', 0.07653749], ['frying_pan', 0.06822835], ['spatula', 0.062470824]]",[0.         1.388921   0.         ... 0.2541272  0.9748597  0.81084424],"[['toilet_seat', 0.41815636], ['ocarina', 0.13575912], ['refrigerator', 0.090187624], ['birdhouse', 0.06876612], ['electric_guitar', 0.041696746]]",8
76688421af5e30928866d308cb82fc1c7b67c637cd8fccf1103172a1a245eadc,./data/Nefarious_Napoleonic_Memes-1412.png,Nefarious_Napoleonic_Memes-1412,76688421af5e30928866d308cb82fc1c7b67c637cd8fccf1103172a1a245eadc,./data/cropped/Nefarious_Napoleonic_Memes-1412.jpg,[0.43883437 0.97121483 0.06802326 ... 0.6185163  1.3681967  0.14230041],"[['apron', 0.39438298], ['bib', 0.21361895], ['handkerchief', 0.06682089], ['Christmas_stocking', 0.043733075], ['web_site', 0.03663865]]","[1.0283042e-03 1.5215120e+00 2.3119975e-02 ... 6.8217731e-01 3.7398560e+00
 8.9125104e-02]","[['mailbag', 0.10694294], ['drum', 0.08811185], ['banjo', 0.078344315], ['ski', 0.0664703], ['electric_guitar', 0.062488165]]",34
641df38e25c709a4fe736cc5752f14ce60033e24a4301e1f5f66e7d4d88fa706,./data/Nefarious_Napoleonic_Memes-1474.png,Nefarious_Napoleonic_Memes-1474,641df38e25c709a4fe736cc5752f14ce60033e24a4301e1f5f66e7d4d88fa706,./data/cropped/Nefarious_Napoleonic_Memes-1474.jpg,[0.5636576  0.90647    0.         ... 0.11600713 0.0371143  0.07539257],"[['web_site', 0.75749356], ['envelope', 0.033622053], ['digital_clock', 0.02144698], ['remote_control', 0.021167884], ['crossword_puzzle', 0.017558778]]",[0.07239009 0.30309504 0.         ... 0.6814678  0.         1.081993  ],"[['rule', 0.58662635], ['ballpoint', 0.18015566], ['syringe', 0.08948469], ['digital_clock', 0.07461262], ['digital_watch', 0.015351291]]",51
7107787ef96c7eebe5738dce60a60fb875bb0454c3382f927950cf528a02f266,./data/Nefarious_Napoleonic_Memes-1510.png,Nefarious_Napoleonic_Memes-1510,7107787ef96c7eebe5738dce60a60fb875bb0454c3382f927950cf528a02f266,./data/cropped/Nefarious_Napoleonic_Memes-1510.jpg,[1.6377035  0.5723285  0.20605804 ... 0.05849827 0.7185415  0.0078285 ],"[['geyser', 0.50897914], ['steam_locomotive', 0.1766885], ['king_penguin', 0.10483793], ['volcano', 0.08703298], ['stage', 0.0780894]]",[1.0830908  0.84721595 0.17150937 ... 0.03221827 0.27026126 0.02084907],"[['geyser', 0.62297934], ['volcano', 0.21755119], ['steam_locomotive', 0.10490933], ['stage', 0.024053924], ['missile', 0.0045716357]]",47
8cd73d1471102aa245fbe553e0a97f719104c3defffcd70a2a91d3036a561781,./data/Nefarious_Napoleonic_Memes-1534.jpg,Nefarious_Napoleonic_Memes-1534,8cd73d1471102aa245fbe553e0a97f719104c3defffcd70a2a91d3036a561781,./data/cropped/Nefarious_Napoleonic_Memes-1534.jpg,[0.46049002 0.09296522 0.00052986 ... 0.49192277 0.45719057 0.36027536],"[['mountain_bike', 0.3531322], ['flagpole', 0.20049207], ['unicycle', 0.07119496], ['web_site', 0.061883282], ['beacon', 0.04691119]]",[0.19428754 0.12943336 0.04467082 ... 1.6102697  0.48854938 0.24447356],"[['unicycle', 0.8225535], ['mountain_bike', 0.081086785], ['altar', 0.07625255], ['chime', 0.0057159313], ['flagpole', 0.005177425]]",75
3ef8069659973399f3aa44981f43a4417ab48f59cd485d178abe902a973e7ff9,./data/Nefarious_Napoleonic_Memes-199.png,Nefarious_Napoleonic_Memes-199,3ef8069659973399f3aa44981f43a4417ab48f59cd485d178abe902a973e7ff9,./data/cropped/Nefarious_Napoleonic_Memes-199.jpg,[0.31233162 1.1640464  0.         ... 4.087062   0.02166407 1.075325  ],"[['crossword_puzzle', 0.13729079], ['waffle_iron', 0.1277239], ['space_bar', 0.12350051], ['shower_curtain', 0.103038475], ['remote_control', 0.087334946]]",[0.16505603 0.23699729 0.         ... 3.1757274  0.02696399 1.7317832 ],"[['waffle_iron', 0.38376686], ['manhole_cover', 0.14592509], ['tray', 0.111465566], ['crossword_puzzle', 0.08384481], ['space_bar', 0.071263365]]",42
